epiweek,time_value,issue,geo_type,geo_value,sarscov2_tests,sarscov2_positive_tests,flu_tests,flua_positive_tests,flub_positive_tests,rsv_tests,rsv_positive_tests,hpiv_tests,adv_tests,adv_positive_tests,hmpv_tests,hmpv_positive_tests,ev_rv_tests,ev_rv_positive_tests,hcov_tests,hcov_positive_tests,hpiv_positive_tests,flu_positive_tests,hcov_pct_positive,hmpv_pct_positive,sarscov2_pct_positive,rsv_pct_positive,hpiv_pct_positive,flu_pct_positive,adv_pct_positive,ev_rv_pct_positive,flua_pct_positive,flub_pct_positive
202334,2023-08-26,2023-08-31,lab,nl,377.0,47.0,217.0,0.0,0.0,217.0,1.0,217.0,217.0,5.0,217.0,0.0,217.0,39.0,217.0,2.0,3.0,0.0,0.9216589861751152,0.0,12.46684350132626,0.4608294930875576,1.3824884792626728,0.0,2.3041474654377883,17.972350230414747,0.0,0.0
202334,2023-08-26,2023-08-31,lab,pe,116.0,13.0,11.0,0.0,0.0,11.0,0.0,5.0,5.0,0.0,5.0,0.0,5.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,11.206896551724139,0.0,0.0,0.0,0.0,20.0,0.0,0.0
202334,2023-08-26,2023-08-31,lab,ns,816.0,141.0,353.0,0.0,0.0,353.0,2.0,32.0,32.0,0.0,32.0,0.0,32.0,6.0,32.0,1.0,4.0,0.0,3.125,0.0,17.27941176470588,0.56657223796034,12.5,0.0,0.0,18.75,0.0,0.0
202334,2023-08-26,2023-08-31,lab,nb,516.0,53.0,324.0,0.0,0.0,312.0,0.0,42.0,42.0,2.0,42.0,0.0,42.0,6.0,42.0,1.0,1.0,0.0,2.380952380952381,0.0,10.271317829457365,0.0,2.380952380952381,0.0,4.761904761904762,14.285714285714285,0.0,0.0
202334,2023-08-26,2023-08-31,region,atlantic,1825.0,254.0,905.0,0.0,0.0,893.0,3.0,296.0,296.0,7.0,296.0,0.0,296.0,52.0,296.0,4.0,8.0,0.0,1.3513513513513513,0.0,13.917808219178083,0.33594624860022393,2.7027027027027026,0.0,2.364864864864865,17.56756756756757,0.0,0.0
202334,2023-08-26,2023-08-31,lab,région nord-est,1158.0,178.0,917.0,1.0,0.0,184.0,1.0,67.0,67.0,5.0,66.0,1.0,,,67.0,0.0,7.0,1.0,0.0,1.5151515151515151,15.3713298791019,0.5434782608695652,10.44776119402985,0.10905125408942204,7.462686567164178,,0.10905125408942204,0.0
202334,2023-08-26,2023-08-31,lab,québec-chaudière-appalaches,1621.0,252.0,424.0,1.0,0.0,424.0,5.0,186.0,204.0,7.0,186.0,1.0,,,186.0,1.0,1.0,1.0,0.5376344086021506,0.5376344086021506,15.54595928439235,1.179245283018868,0.5376344086021506,0.2358490566037736,3.431372549019608,,0.2358490566037736,0.0
202334,2023-08-26,2023-08-31,lab,centre-du-québec,1250.0,206.0,200.0,0.0,0.0,200.0,6.0,36.0,36.0,2.0,36.0,0.0,,,36.0,0.0,2.0,0.0,0.0,0.0,16.48,3.0,5.555555555555555,0.0,5.555555555555555,,0.0,0.0
202334,2023-08-26,2023-08-31,lab,montréal-laval,2491.0,337.0,1046.0,5.0,2.0,988.0,12.0,581.0,581.0,8.0,581.0,8.0,,,581.0,0.0,11.0,7.0,0.0,1.376936316695353,13.528703331995182,1.214574898785425,1.8932874354561102,0.6692160611854685,1.376936316695353,,0.47801147227533464,0.19120458891013384
202334,2023-08-26,2023-08-31,lab,ouest du québec,1050.0,170.0,254.0,4.0,1.0,254.0,1.0,20.0,20.0,1.0,20.0,1.0,,,20.0,1.0,5.0,5.0,5.0,5.0,16.19047619047619,0.39370078740157477,25.0,1.968503937007874,5.0,,1.574803149606299,0.39370078740157477
202334,2023-08-26,2023-08-31,lab,montérégie,1010.0,140.0,536.0,1.0,0.0,535.0,5.0,8.0,8.0,0.0,8.0,0.0,,,8.0,0.0,0.0,1.0,0.0,0.0,13.861386138613863,0.9345794392523363,0.0,0.18656716417910446,0.0,,0.18656716417910446,0.0
202334,2023-08-26,2023-08-31,region,qc,8580.0,1283.0,3377.0,12.0,3.0,2585.0,30.0,898.0,916.0,23.0,897.0,11.0,,,898.0,2.0,26.0,15.0,0.22271714922048996,1.2263099219620959,14.953379953379953,1.160541586073501,2.89532293986637,0.44418122594018355,2.5109170305676853,,0.3553449807521469,0.08883624518803672
202334,2023-08-26,2023-08-31,lab,phol - ottawa,337.0,125.0,194.0,0.0,0.0,194.0,0.0,89.0,89.0,0.0,89.0,1.0,89.0,9.0,89.0,1.0,2.0,0.0,1.1235955056179776,1.1235955056179776,37.0919881305638,0.0,2.247191011235955,0.0,0.0,10.112359550561797,0.0,0.0
202334,2023-08-26,2023-08-31,lab,eorla,1263.0,104.0,271.0,2.0,0.0,271.0,8.0,25.0,25.0,0.0,25.0,0.0,25.0,7.0,25.0,0.0,0.0,2.0,0.0,0.0,8.234362628661916,2.952029520295203,0.0,0.7380073800738007,0.0,28.000000000000004,0.7380073800738007,0.0
202334,2023-08-26,2023-08-31,lab,phol - kingston,307.0,96.0,81.0,0.0,0.0,81.0,0.0,53.0,53.0,0.0,53.0,0.0,53.0,12.0,53.0,0.0,2.0,0.0,0.0,0.0,31.27035830618892,0.0,3.7735849056603774,0.0,0.0,22.641509433962266,0.0,0.0
202334,2023-08-26,2023-08-31,lab,uhn / mount sinai hospital,527.0,32.0,495.0,3.0,0.0,495.0,0.0,19.0,19.0,0.0,19.0,0.0,19.0,0.0,19.0,1.0,0.0,3.0,5.263157894736842,0.0,6.072106261859583,0.0,0.0,0.6060606060606061,0.0,0.0,0.6060606060606061,0.0
202334,2023-08-26,2023-08-31,lab,phol - toronto,367.0,78.0,744.0,13.0,0.0,744.0,3.0,689.0,690.0,9.0,689.0,1.0,689.0,140.0,689.0,1.0,40.0,13.0,0.14513788098693758,0.14513788098693758,21.25340599455041,0.4032258064516129,5.805515239477503,1.747311827956989,1.3043478260869565,20.319303338171263,1.747311827956989,0.0
202334,2023-08-26,2023-08-31,lab,sick kids hospital - toronto,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
202334,2023-08-26,2023-08-31,lab,shared hospital laboratory,691.0,42.0,691.0,3.0,0.0,691.0,5.0,694.0,694.0,5.0,698.0,1.0,697.0,51.0,698.0,0.0,7.0,3.0,0.0,0.14326647564469913,6.078147612156296,0.723589001447178,1.0086455331412103,0.43415340086830684,0.7204610951008645,7.317073170731707,0.43415340086830684,0.0
202334,2023-08-26,2023-08-31,lab,phol - sault ste marie,2.0,1.0,4.0,0.0,0.0,4.0,0.0,4.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202334,2023-08-26,2023-08-31,lab,phol - timmins,21.0,1.0,7.0,0.0,0.0,7.0,0.0,7.0,7.0,1.0,7.0,0.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,4.761904761904762,0.0,0.0,0.0,14.285714285714285,0.0,0.0,0.0
202334,2023-08-26,2023-08-31,lab,st joseph's - london,517.0,44.0,24.0,0.0,0.0,24.0,0.0,24.0,24.0,0.0,24.0,0.0,24.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,8.51063829787234,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202334,2023-08-26,2023-08-31,lab,phol - london,223.0,32.0,153.0,1.0,0.0,153.0,0.0,136.0,136.0,0.0,136.0,0.0,136.0,32.0,136.0,0.0,10.0,1.0,0.0,0.0,14.349775784753364,0.0,7.352941176470589,0.6535947712418301,0.0,23.52941176470588,0.6535947712418301,0.0
202334,2023-08-26,2023-08-31,lab,phol - orillia,41.0,14.0,26.0,0.0,0.0,26.0,0.0,17.0,17.0,2.0,17.0,0.0,17.0,4.0,17.0,0.0,0.0,0.0,0.0,0.0,34.146341463414636,0.0,0.0,0.0,11.76470588235294,23.52941176470588,0.0,0.0
202334,2023-08-26,2023-08-31,lab,phol - thunder bay,30.0,4.0,18.0,0.0,0.0,18.0,0.0,9.0,9.0,0.0,9.0,0.0,9.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,13.333333333333334,0.0,0.0,0.0,0.0,11.11111111111111,0.0,0.0
202334,2023-08-26,2023-08-31,lab,phol - sudbury,17.0,5.0,18.0,0.0,0.0,18.0,0.0,18.0,18.0,0.0,18.0,0.0,18.0,4.0,18.0,0.0,0.0,0.0,0.0,0.0,29.411764705882355,0.0,0.0,0.0,0.0,22.22222222222222,0.0,0.0
202334,2023-08-26,2023-08-31,lab,phol - hamilton,204.0,55.0,117.0,0.0,0.0,117.0,0.0,98.0,98.0,1.0,98.0,0.0,98.0,9.0,98.0,0.0,1.0,0.0,0.0,0.0,26.96078431372549,0.0,1.0204081632653061,0.0,1.0204081632653061,9.183673469387756,0.0,0.0
202334,2023-08-26,2023-08-31,lab,phol - peterborough,24.0,4.0,23.0,1.0,0.0,23.0,0.0,16.0,16.0,4.0,16.0,0.0,16.0,2.0,16.0,0.0,0.0,1.0,0.0,0.0,16.666666666666664,0.0,0.0,4.3478260869565215,25.0,12.5,4.3478260869565215,0.0
202334,2023-08-26,2023-08-31,lab,st joseph's - hamilton,1273.0,94.0,1041.0,3.0,1.0,1041.0,3.0,1041.0,1041.0,8.0,1041.0,1.0,1041.0,53.0,0.0,0.0,1.0,4.0,0.0,0.09606147934678194,7.384131971720345,0.2881844380403458,0.09606147934678194,0.38424591738712777,0.7684918347742555,5.091258405379443,0.2881844380403458,0.09606147934678194
202334,2023-08-26,2023-08-31,lab,sault area hospital,52.0,7.0,42.0,0.0,0.0,42.0,0.0,42.0,42.0,0.0,42.0,0.0,42.0,8.0,52.0,0.0,0.0,0.0,0.0,0.0,13.461538461538462,0.0,0.0,0.0,0.0,19.047619047619047,0.0,0.0
202334,2023-08-26,2023-08-31,region,on,5896.0,738.0,3949.0,26.0,1.0,3949.0,19.0,2981.0,2982.0,30.0,2985.0,4.0,2984.0,332.0,1954.0,3.0,63.0,27.0,0.15353121801432956,0.1340033500837521,12.516960651289011,0.48113446442137253,2.1133847702113386,0.6837173968093189,1.0060362173038229,11.126005361930295,0.6583945302608255,0.02532286654849329
